Solutions over population
,Best,Avg,Worst
0,6388.371246454751,7133.200257405399,7952.785001771346
1,2770.5901005768474,5729.000608144937,7777.012782634469
2,2587.0184354378944,5255.203322762899,7741.378958062795
3,2508.61759231777,5041.9211928972045,7676.353733720484
4,2417.9470738924006,4857.970160350183,7660.951005718543
5,2406.5203281804097,4779.889804522029,7614.916530798553
6,2399.509997377758,4735.731857916302,7574.035352879471
7,2387.591043615441,4689.1935277322045,7295.21515574363
8,2368.0494202050236,4577.534401915722,7292.684875294786
9,2350.297306259276,4575.3290737268735,7115.092464687281
10,2295.5715729391513,4516.545287635009,6952.2742939304335
11,2285.386811949212,4427.977728115356,6891.2064210296185
12,2280.705461497247,4355.214386726648,6844.496274305141
13,2262.0457366962064,4319.165839027992,6836.944242787727
14,2236.2024520341547,4291.43686435,6761.241483621917
15,2236.2024520341547,4310.5827129165245,6760.113474165684
16,2220.550226074391,4308.343722161065,6709.764570809359
17,2214.583965321654,4274.880859971586,6917.973684221094
18,2212.494640813902,4253.108258234094,6579.073157740285
19,2205.445265328499,4241.578870355005,6673.406405599497
20,2201.583002100786,4243.339065145865,6662.359752116419
21,2182.1879449066764,4256.263052633577,6658.5301641749975
22,2167.7410141805362,4235.886617609373,6592.5362136336935
23,2150.7899841456997,4198.866767113976,6612.511927537276
24,2150.7899841456997,4194.805618036346,6403.672215028997
25,2150.7899841456997,4134.705185812451,6399.520882433308
26,2149.808506851125,4120.696297788125,6399.520882433308
27,2138.6818253320534,4105.782438662553,6384.414088050535
28,2133.418068092235,4079.875134572337,6492.231631666427
29,2117.5836352190668,4082.7050938765437,6355.81317795887
30,2117.5836352190668,4107.622667083715,6193.5615999859065
31,2117.5836352190668,4112.138260393535,6282.667613285577
32,2117.5836352190668,4117.611223859238,6403.777131595837
33,2117.5836352190668,4123.571509269495,6403.777131595837
34,2117.5836352190668,4058.665832994263,6403.584270158138
35,2117.5836352190668,4076.276664167698,6752.98687113079
36,2090.0535526065987,4064.587822670964,6490.402017436085
37,2076.4522444366617,4134.268906169143,6550.502675958123
38,2076.4522444366617,4150.84102001779,6577.521183160159
39,2071.8127734315985,4103.3705627848085,6389.472855044329
40,2071.8127734315985,4074.00635733211,6311.844004810581
41,2071.8127734315985,4088.780892878902,6318.168031650038
42,2071.8127734315985,4075.0270871790563,6191.4417588519955
43,2071.8127734315985,4087.747936026283,6414.222894001473
44,2060.9204748200705,4025.8759422932144,6410.904579923708
45,2048.8080017396014,3998.47905363222,6522.266392428215
46,2037.9157031280731,4024.8152815843832,6530.620081888969
47,2037.9157031280731,3994.9709996684505,6530.620081888969
48,2037.9157031280731,4007.99828255393,6530.620081888969
49,2020.0264610149115,4057.3292661168257,6383.974013371417
50,2020.0264610149115,4069.722331877922,6422.17786935671
51,2020.0264610149115,4039.530940855954,6352.5279068677655
52,2020.0264610149115,4003.360729292192,6219.850918071499
53,2020.0264610149115,4006.381925659468,6405.788192024755
54,2012.3236292448446,4012.893568207856,6416.623217344097
55,2012.3236292448446,4007.0759902155282,6398.396624888982
56,2012.3236292448446,4014.740554531635,6510.72401458598
57,2006.7101778973404,3967.940956277124,6386.566927227983
58,2006.7101778973404,3960.1246284579156,6156.772386562427
59,2006.7101778973404,4013.7566917498743,6148.458029843152
60,2006.7101778973404,3974.7308283746042,6113.985599575101
61,2006.7101778973404,3974.8618706992493,6028.465646465373
62,2006.7101778973404,3948.4154950776147,6069.318743279578
63,2006.7101778973404,3948.902677452777,6294.412964036622
64,2006.7101778973404,3955.01282049038,6696.830521765489
65,2006.7101778973404,4011.8940802979255,6703.882668816752
66,2006.7101778973404,4026.660078218518,6463.099871665482
67,2006.7101778973404,3989.376520306889,6463.099871665482
68,1986.2373122558624,4016.5045896038164,6218.583746589715
69,1986.2373122558624,3986.459289090242,6237.481584848358
70,1986.2373122558624,3983.7446741620956,6249.87826432154
71,1986.2373122558624,4014.9479342260374,6223.770865736753
72,1986.2373122558624,3988.490263290804,6225.835764848324
73,1986.2373122558624,4031.5516400757815,6218.073620678457
74,1986.2373122558624,3956.4032053652436,6371.543997000506
75,1986.2373122558624,3966.681843647779,6487.877109658232
76,1986.2373122558624,3998.6086374509123,6487.877109658232
77,1986.2373122558624,3977.024275294735,6207.535029045066
78,1986.2373122558624,3974.1380957770107,6484.97761746947
79,1986.2373122558624,3946.456026352233,6337.304349998182
80,1986.2373122558624,3998.1599167042277,6419.067062016356
81,1986.2373122558624,3998.376617972985,6518.1695275256225
82,1986.2373122558624,4059.8673595994796,6436.699187347117
83,1986.2373122558624,3976.6265501878142,6417.839781745465
84,1986.237312255862,3998.0394147431307,6213.974379566895
85,1986.237312255862,3966.3171348648193,6454.840032733351
86,1986.237312255862,3939.369951225785,6515.738602869516
87,1986.237312255862,4001.897236026398,6295.767290373609
88,1984.9362647623439,3996.358878793816,6234.011523080521
89,1984.9362647623439,3951.6956080628306,6275.559628581611
90,1984.9362647623439,3970.3942611468105,6263.160618541233
91,1984.9362647623439,3958.7044902955818,6307.212133885164
92,1984.9362647623439,3897.719020527851,6231.62744735112
93,1984.9362647623439,3912.926494636168,6145.987078791032
94,1984.9362647623439,3895.8526665437957,6097.6704067629225
95,1984.9362647623439,3896.489070152686,6082.144558506637
96,1984.9362647623439,3879.727913345235,6052.720194607185
97,1984.9362647623439,3915.570056145448,6223.080386880131
98,1984.9362647623439,3928.2576495847684,6111.06162170534
99,1984.9362647623439,3831.499365928538,6208.368372211935
100,1984.9362647623439,3943.611766036215,6127.369432934253
101,1984.9362647623439,3853.106729011106,6339.42924328777
102,1984.9362647623439,3884.6420935765473,6159.8500738354405
103,1984.9362647623439,3874.05769715285,6111.40588476714
104,1984.9362647623439,3835.9354755209956,6065.857898138958
105,1984.9362647623439,3847.820664706215,6199.11537401235
106,1984.9362647623439,3803.7373755770886,6132.259902344554
107,1984.9362647623439,3851.7601664170465,6067.5920889769695
108,1984.9362647623439,3849.5130979125674,6149.197245564762
109,1983.0368523940751,3839.0058404166894,6365.564903992411
110,1983.0368523940751,3800.3338605342765,6259.619529205135
111,1983.0368523940751,3836.530204962809,6241.700877653902
112,1983.0368523940751,3861.457295446038,6115.445887375815
113,1983.0368523940751,3831.779620038844,6572.486663464782
114,1983.0368523940751,3909.1198173813805,6166.285459710397
115,1983.0368523940751,3878.364909605589,6254.718228708372
116,1983.0368523940751,3844.3432773095396,6199.0213230363115
117,1983.0368523940751,3843.903293260655,6088.819872200426
118,1983.0368523940751,3847.045473059792,6471.326006762518
119,1977.989124597777,3895.6093589892334,6149.652695669963
120,1977.989124597777,3861.49521954302,6292.523522194992
121,1977.989124597777,3842.7521730293834,6026.9830080445145
122,1977.989124597777,3832.4095926257737,6105.888996400273
123,1977.989124597777,3860.7864870319286,6017.934472515019
124,1977.989124597777,3792.6674584743437,6126.344175736865
125,1977.989124597777,3793.330263481663,5935.44311749687
126,1977.989124597777,3720.9197274607773,5974.605024380102
127,1977.989124597777,3822.0953074132226,6325.564170698376
128,1977.989124597777,3793.429317454223,6188.683886794645
129,1977.989124597777,3783.339276536592,6188.683886794645
130,1977.989124597777,3805.3733196037365,6556.276436512591
131,1977.989124597777,3859.544756733401,6556.276436512591
132,1977.989124597777,3811.725491788418,6685.092261179062
133,1977.989124597777,3837.384152106033,6685.092261179062
134,1977.989124597777,3862.3523583216434,6367.061137189382
135,1977.989124597777,3841.277702999654,6166.68973705886
136,1977.989124597777,3850.8384641895304,6365.474703513778
137,1977.989124597777,3852.2303204689456,6106.020679828865
138,1977.989124597777,3805.1202282516906,6179.738453359332
139,1977.989124597777,3805.7549621596027,5993.264079491133
140,1977.989124597777,3819.9672541191217,6202.600624473516
141,1977.989124597777,3803.1524834225556,6209.581485901884
142,1977.989124597777,3801.190928257642,6098.641994536807
143,1977.989124597777,3683.1331824626104,6167.643240378594
144,1977.989124597777,3723.2343009287297,6163.258621599286
145,1977.989124597777,3765.6652973178334,6400.435890066494
146,1977.989124597777,3799.4806196110803,6218.212358258287
147,1977.989124597777,3762.3574620310733,6447.572593032247
148,1977.989124597777,3833.3262944107246,6139.328562216765
149,1977.989124597777,3836.1468065852105,6168.149174212563
150,1977.989124597777,3771.842085780271,6953.247135042381
151,1977.989124597777,3866.7337766817213,6145.595496149947
152,1977.989124597777,3842.323861282437,6202.383955518997
153,1977.989124597777,3770.860270958122,6086.791335790727
154,1977.989124597777,3754.889441041757,6128.547211302543
155,1977.989124597777,3783.5747644510843,6057.217907954315
156,1977.989124597777,3749.4364925115224,6011.6480879611445
157,1977.989124597777,3726.1561936753596,6081.278185535522
158,1977.989124597777,3745.8840386003003,5981.598666667741
159,1977.989124597777,3728.4290051597645,5981.598666667741
160,1977.989124597777,3745.428298166316,6412.4139858245335
161,1977.989124597777,3728.1271757672675,6022.238731052979
162,1977.989124597777,3710.2884281906126,6022.238731052979
163,1977.989124597777,3751.744418224598,6022.238731052979
164,1977.989124597777,3771.219496525328,6038.683614375578
165,1977.989124597777,3760.9990901428373,6368.763081616783
166,1977.989124597777,3749.6652522797062,6505.8985284106575
167,1977.989124597777,3768.3037089578224,6207.117348231413
168,1977.989124597777,3813.221033258291,6299.372318062069
169,1977.989124597777,3771.684740261354,6280.787651705643
170,1977.989124597777,3717.954588833422,6212.250670382608
171,1977.989124597777,3760.612719392317,6094.836294063798
172,1977.989124597777,3788.4016455475016,6065.891648758214
173,1977.989124597777,3722.856837711154,6574.695537690421
174,1977.989124597777,3738.5520328081075,6161.782959468211
175,1977.989124597777,3777.9135899632106,6407.994817736885
176,1977.989124597777,3758.470162981624,6015.403122054334
177,1977.989124597777,3777.235075820239,6227.840378042624
178,1977.989124597777,3770.0819526136324,6700.305426055533
179,1977.989124597777,3792.5044644953828,6698.159469926788
180,1977.989124597777,3838.4578162439357,6428.264141547253
181,1968.94979868867,3793.517658471053,6240.472267755672
182,1968.94979868867,3802.2281174863047,6576.388929938457
183,1968.94979868867,3712.8345811739355,6031.005990323505
184,1968.94979868867,3724.285356213632,6047.105812156341
185,1968.9497986886697,3707.009204162056,6416.6237091297135
186,1968.9497986886697,3707.770734203843,6405.605719812096
187,1968.9497986886697,3753.430626120033,6038.196858326269
188,1968.9497986886697,3714.0552716465204,6065.937019834799
189,1968.9497986886697,3749.542063080759,6152.123290486978
190,1968.9497986886697,3681.0037500009075,6152.123290486978
191,1968.9497986886697,3665.1429804382633,6152.123290486978
192,1968.9497986886697,3721.226457280994,6198.599453379347
193,1968.9497986886697,3795.8311468955662,6584.5968156316085
194,1968.9497986886697,3663.2526736297314,6108.676407824604
195,1968.9497986886697,3659.511055713894,6036.143795885429
196,1968.9497986886697,3711.496828280243,6145.5076449029175
197,1968.9497986886697,3709.7176969122106,6018.611889753958
198,1968.9497986886697,3694.821552563279,6185.054909306235
199,1968.9497986886697,3737.9649529505436,5826.029004185891
200,1968.9497986886697,3710.0573065375165,5910.610462307398
201,1968.9497986886697,3671.7212808740546,6583.769122740402
202,1968.9497986886697,3717.310086384571,6262.470483562459
203,1968.9497986886697,3794.103463067525,6413.2171387942635
204,1968.9497986886697,3775.4512496096827,6103.879094902629
205,1968.9497986886697,3689.0579672565464,6376.730201675675
206,1968.9497986886697,3720.97393138138,6171.2586518698845
207,1968.9497986886697,3695.480173496602,6067.3908880528725
208,1968.9497986886697,3706.0993456776723,6119.1672155947135
209,1968.9497986886697,3703.0396155092344,6183.354999104906
210,1968.9497986886697,3737.2260313910406,6317.701335946076
211,1968.9497986886697,3793.508525551881,6068.116519417182
212,1968.9497986886697,3757.7063673464145,6174.8199334191795
213,1959.8081091578442,3653.539876890649,6130.14726002279
214,1958.6318479477816,3711.592319930662,6097.834412983023
215,1958.6318479477816,3713.839606220008,6288.687445115993
216,1958.6318479477816,3708.3647273174433,6090.704549020944
217,1958.6318479477816,3746.2306652458215,6587.69999808176
218,1958.6318479477816,3818.4581439455105,6357.145133173204
219,1958.6318479477816,3790.1999064221595,6198.988536191579
220,1958.6318479477816,3800.5288410386206,6306.86390195276
221,1958.6318479477816,3781.1470434649095,6299.64334619116
222,1958.6318479477814,3739.2887930035213,6072.489062095014
223,1958.6318479477814,3762.963992786809,6134.910156357639
224,1958.6318479477814,3795.3666782857063,6105.877667962674
225,1958.6318479477814,3733.2903910530176,6371.718243393184
226,1958.6318479477814,3696.1701683574393,5979.123781970326
227,1958.6318479477814,3673.7909931610207,5841.493655049922
228,1958.6318479477814,3635.2681510361285,6170.138358584472
229,1958.6318479477814,3631.263877411867,6159.838648997422
230,1958.6318479477814,3668.1511732722797,6135.275692939688
231,1958.6318479477814,3647.690329946113,6153.973173532518
232,1958.6318479477814,3671.185972010436,6231.670537337489
233,1958.6318479477814,3675.186305591021,6219.737701056162
234,1958.6318479477814,3731.994175837093,6082.055331953212
235,1958.6318479477814,3753.1911848560853,6055.1674181485605
236,1958.6318479477814,3683.711875608838,6208.092343653793
237,1958.6318479477814,3654.9774382060605,6171.797044604497
238,1958.6318479477814,3692.554693801977,6190.078128990437
239,1958.6318479477814,3661.636264615596,6057.510958468004
240,1958.6318479477814,3708.4548439632485,6052.547647272323
241,1958.6318479477814,3665.5661543700576,6049.647730628802
242,1958.6318479477814,3683.347201402271,6314.3023178932635
243,1958.6318479477814,3653.299999065741,6228.619612463705
244,1958.6318479477814,3675.6261567254396,6036.661284084832
245,1958.6318479477814,3727.2925192841644,6008.19462425269
246,1958.6318479477814,3717.974135262758,6339.217973748098
247,1958.6318479477814,3645.826917156333,6013.669662869071
248,1958.6318479477814,3688.7863777590683,6009.210607734123
249,1958.6318479477814,3622.5998869278123,5974.772100200142
250,1958.6318479477814,3594.034765170105,5809.123111217673
251,1958.0935930415415,3616.572429581114,5775.901495163583
252,1958.0935930415415,3673.768535026916,5805.493303914999
253,1958.0935930415415,3639.6083827131843,5845.094896864499
254,1958.0935930415415,3643.597374207756,6343.526089512879
255,1958.0935930415415,3666.3317160644046,5975.2808364530965
256,1958.0935930415415,3679.2819810968767,5975.2808364530965
257,1958.0935930415415,3612.9739253054727,5980.599531221741
258,1958.0935930415415,3677.857985592177,6091.957243851325
259,1958.0935930415415,3681.519262545735,6091.957243851325
260,1958.0935930415415,3680.742776708365,6111.135130463311
261,1958.0935930415415,3668.0998192219313,6154.654415541037
262,1958.0935930415415,3711.5543803495952,5980.599531221741
263,1958.0935930415415,3693.6988799095275,6049.545838299866
264,1958.0935930415415,3706.0110806593043,6186.4101059248915
265,1958.0935930415415,3690.7908091144377,6186.4101059248915
266,1958.0935930415415,3770.0789512905603,6070.172023064789
267,1958.0935930415415,3741.423543024943,6070.172023064789
268,1958.0935930415415,3732.2198655425377,6016.416552704892
269,1958.0935930415415,3749.5912046234625,6190.1896533424815
270,1958.0935930415415,3760.5866291489915,6036.370257413772
271,1958.0935930415415,3734.1057543059383,6207.800139493758
272,1958.0935930415415,3688.755432087224,6036.370257413772
273,1958.0935930415415,3698.4048257899717,6030.822382302915
274,1958.0935930415415,3690.5017878148797,6030.822382302915
275,1958.0935930415415,3678.2429201314576,6013.863616349544
276,1958.0935930415415,3657.865057094629,6207.275089174504
277,1958.0935930415415,3643.5562143592497,5792.473119669104
278,1958.0935930415415,3622.2920533513216,6634.756145361196
279,1958.0935930415415,3703.0689788166674,7311.116738517418
280,1958.0935930415415,3697.0952791054006,7431.325678350293
281,1958.0935930415415,3784.020165112642,6468.85324919103
282,1958.0935930415415,3737.8727290376964,6556.475071742224
283,1958.0935930415415,3676.345466358853,6124.918492137727
284,1958.0935930415415,3773.3751230161797,6124.918492137727
285,1958.0935930415415,3712.240937266489,6039.972401299396
286,1958.0935930415415,3709.362313802392,6669.895329202096
287,1958.0935930415415,3776.7741513221745,6735.6858711311415
288,1958.0935930415415,3793.544307394715,6290.460727640716
289,1958.0935930415415,3797.9539461362983,6287.466161452351
290,1958.0935930415415,3775.4496538973144,6264.238384893999
291,1958.0935930415415,3822.581481716951,6180.289850207833
292,1958.0935930415415,3762.3861454846865,6155.420871366538
293,1958.0935930415415,3655.066646328223,6135.556372182934
294,1958.0935930415415,3641.4635244387578,6064.12788372956
295,1958.0935930415415,3671.166095580862,6266.700813226387
296,1958.0935930415415,3708.4275701517363,6266.700813226387
297,1958.0935930415415,3710.8089074527966,6182.349094300601
298,1958.0935930415415,3705.5908903641475,6054.4051895124585
299,1958.0935930415415,3684.6299715347277,6158.137484184151
