Solutions over population,,,
,Best,Avg,Worst
0,6053.002714,7422.755661,9297.093146
1,2923.655219,5996.067992,8924.151207
2,2831.821955,5610.425043,8538.613974
3,2747.7353,5404.418717,8360.303032
4,2569.236904,5198.970602,8042.58784
5,2558.84714,5058.804909,8028.703146
6,2541.619831,4976.296325,7770.605834
7,2531.337115,4921.735809,7770.605834
8,2456.828486,4875.794413,7770.605834
9,2441.741077,4836.127982,7599.740523
10,2407.178237,4790.283934,7475.34729
11,2383.588165,4740.501186,7557.697362
12,2300.328916,4665.76073,7362.633541
13,2290.967187,4655.458032,7307.205773
14,2290.967187,4617.708344,7307.205773
15,2290.967187,4606.715745,7212.759059
16,2288.968644,4574.882624,7176.810992
17,2288.863084,4545.57749,7176.810992
18,2288.863084,4553.736162,7406.006983
19,2288.804747,4511.156311,7175.770821
20,2285.092711,4527.473502,7182.011282
21,2281.260938,4494.533204,7023.275738
22,2262.023228,4460.108015,7164.493982
23,2257.977757,4438.920246,7190.804882
24,2257.977757,4439.618779,7190.804882
25,2257.977757,4427.953388,6996.998449
26,2228.670275,4406.169904,6944.548755
27,2220.671127,4422.422216,6870.052771
28,2220.671127,4370.59003,6811.375753
29,2220.671127,4358.708349,6754.039646
30,2220.671127,4355.917865,6797.859444
31,2220.671127,4336.867349,6778.827505
32,2218.903384,4327.569066,6715.423064
33,2217.378126,4369.059207,6613.693536
34,2210.910131,4329.821606,6698.923436
35,2181.218306,4282.466047,6630.435105
36,2181.218306,4288.069783,6628.148061
37,2160.429239,4255.843797,6564.53153
38,2160.429239,4247.880743,6646.010348
39,2139.618031,4200.4575,6646.010348
40,2137.370342,4211.65013,6643.388607
41,2137.370342,4198.970271,6731.317954
42,2137.370342,4233.837958,6680.791373
43,2128.180204,4259.412623,6562.019176
44,2128.180204,4241.612724,6704.962414
45,2128.180204,4230.230146,6622.874384
46,2128.180204,4205.825691,6737.259206
47,2121.103622,4232.750798,6641.778821
48,2121.103622,4211.048212,6521.943042
49,2121.103622,4262.227543,6603.94016
50,2121.103622,4204.455326,6720.391636
51,2121.103622,4219.215415,6532.000496
52,2121.103622,4188.777309,6602.058831
53,2121.103622,4205.045918,6717.385935
54,2113.286479,4207.405892,6735.501562
55,2113.286479,4196.140915,6674.440818
56,2103.172334,4204.108478,6756.233782
57,2103.172334,4173.943618,6728.972795
58,2103.172334,4182.182016,6614.043666
59,2103.172334,4197.475211,6610.594078
60,2103.172334,4132.649652,6687.608956
61,2103.069295,4145.334655,6681.560248
62,2103.069295,4162.084583,6683.409639
63,2103.069295,4133.696581,6694.318328
64,2103.069295,4176.323193,6778.065621
65,2103.069295,4199.389603,6909.417028
66,2093.5367,4213.593647,7118.017196
67,2093.5367,4220.395199,7534.597315
68,2093.5367,4296.143194,7101.947032
69,2093.5367,4261.134935,7060.45057
70,2093.5367,4234.393003,6885.647663
71,2091.937387,4237.33535,6889.601261
72,2083.499465,4194.746106,6982.978825
73,2083.499465,4177.525453,6885.647663
74,2083.499465,4224.786122,6804.66944
75,2083.499465,4187.13204,6695.373276
76,2080.896339,4164.843188,6632.895954
77,2080.896339,4156.516637,6789.824242
78,2080.896339,4183.97285,6753.806906
79,2080.896339,4183.783005,6904.755689
80,2080.896339,4165.126794,6736.055304
81,2080.896339,4191.473467,7128.622817
82,2080.896339,4183.496414,7261.098936
83,2080.896339,4210.161733,6785.714269
84,2080.896339,4195.304909,6776.77094
85,2080.896339,4148.816047,6709.937047
86,2080.896339,4157.157148,6752.244421
87,2075.871352,4117.712596,6873.187427
88,2075.871352,4154.171257,7101.109581
89,2075.871352,4181.833699,6841.155031
90,2075.871352,4225.814327,6713.4078
91,2069.131881,4175.000302,6740.971474
92,2069.131881,4180.143002,6792.378581
93,2068.081601,4135.604418,6913.723584
94,2063.524931,4156.31047,6948.103537
95,2063.524931,4167.332374,6812.48923
96,2051.395494,4161.55209,6989.314673
97,2051.395494,4145.036726,6836.485396
98,2051.395494,4175.521207,6726.489392
99,2051.395494,4172.06201,6717.839175
100,2051.395494,4159.301075,6778.421584
101,2051.395494,4140.329236,6778.421584
102,2051.395494,4129.851147,6738.69064
103,2051.395494,4127.937471,6738.69064
104,2051.395494,4171.169453,6756.289122
