Solutions over population
,Best,Avg,Worst
0,6471.041695917135,7410.621352291346,9481.270123286513
1,4395.695510535504,6636.41062584213,8517.349054015362
2,4065.54297968408,6379.707738738565,8497.913516911416
3,3887.6344708581537,6209.736794728641,8462.706007202733
4,3887.6344708581537,6011.573985897235,8341.962100464365
5,3863.36919757168,6009.010721618538,8341.962100464365
6,3863.36919757168,5847.562606394063,8170.018251270172
7,3743.8377953558884,5812.462926105847,8324.259664634345
8,3698.878567654359,5767.594876260397,8095.891873070705
9,3600.556779987724,5647.89471272456,7919.898256880033
10,3490.309104970792,5584.098334096473,8170.872323507119
11,3490.309104970792,5559.555916142574,7717.579093355021
12,3423.167909758661,5536.731519743368,7708.28661386465
13,3388.285238016161,5558.931400265739,7695.369624552313
14,3328.0676573722967,5482.375547869567,7672.639805679877
15,3312.4038251960455,5432.776783805788,7611.933246620825
16,3210.6618066222336,5433.270382311849,7588.14090738951
17,3202.739925740396,5349.712367680177,7634.496190816947
18,3202.739925740396,5303.735970474121,7458.795019578404
19,3180.228180054374,5279.383678916159,7784.389006053161
20,3180.228180054374,5301.612685214397,7491.078543355662
21,3177.975524428265,5246.8542793756815,7427.835390089306
22,3177.975524428265,5197.657492767336,7427.835390089306
23,3177.975524428265,5258.3310687392695,7448.60781717985
24,3127.6453056689634,5208.677613039415,7564.923841382431
25,3127.6453056689634,5205.504065870624,7793.035813600824
26,3117.7435502711196,5201.655376702965,7449.964230024704
27,3093.754554918763,5159.276752626128,7456.905942189571
28,3068.786590556424,5178.824238446967,7443.309038063319
29,3059.378402676415,5163.6912855568835,7435.114647826026
30,3028.53589137966,5124.268470221385,7458.757018146597
31,3028.53589137966,5100.900018264375,7505.316908174929
32,2978.047529275802,5119.981430467827,7605.60945622572
33,2978.047529275802,5078.338719528764,7671.828154249372
34,2978.047529275802,5063.439549066011,7387.488100745507
35,2917.4812814974575,4984.329409276299,7586.285809623415
36,2880.9060060743436,4983.463334094123,7586.285809623415
37,2877.8858830153613,5009.389786521172,7369.257196988392
38,2873.3585904013435,4953.706543531761,7515.747656872757
39,2873.3585904013435,4985.282087178931,7381.051649206529
40,2873.3585904013435,4892.868835381967,7272.345898561595
41,2873.3585904013435,4827.151978798985,7154.2825749059275
42,2854.9522016308506,4839.944370836281,7141.177036346874
43,2854.9522016308506,4839.914435961395,7432.926478175381
44,2854.9522016308506,4770.553366595344,7148.159525396422
45,2854.9522016308506,4785.30431238389,7140.725870368837
46,2846.3175926788567,4791.51732130946,7449.010623603103
47,2826.5084066424797,4765.296421754117,7243.608273184251
48,2791.832119045059,4823.988074461228,7080.546513869992
49,2791.832119045059,4825.075948770086,7004.79229178764
50,2776.656787042174,4749.34936380247,7180.289551018429
51,2730.080513328921,4758.233567621452,7643.776023618654
52,2730.080513328921,4749.745794560977,7722.065801500748
53,2730.080513328921,4694.127023895066,7471.760292251027
54,2730.080513328921,4720.6988417325065,7471.760292251027
55,2730.080513328921,4759.266196018018,7301.44697356398
56,2730.080513328921,4726.64093414862,7029.823257835687
57,2728.504242797074,4763.956062740248,7063.13821699532
58,2728.504242797074,4721.65344179695,7285.295033757846
59,2728.504242797074,4748.409997783592,7744.078410691968
60,2708.379608477516,4756.468568566883,7118.824723405899
61,2708.379608477516,4697.8758956963175,7118.824723405899
62,2708.379608477516,4690.063800439192,7092.11244736487
63,2707.1226277946844,4735.622566173027,7076.525285668935
64,2707.1226277946844,4717.2282882738355,7120.201649741572
65,2707.1226277946844,4677.6068578889735,7076.525285668935
66,2707.1226277946844,4667.96821872711,7274.881980426357
67,2707.1226277946844,4664.635873373676,7274.881980426357
68,2693.7536661012778,4687.01684688498,7296.181377199623
69,2693.7536661012778,4756.873321398327,7072.789540166676
70,2693.7536661012778,4673.674683763909,7201.478412688613
71,2672.88287703517,4647.099187490928,7201.478412688613
72,2672.88287703517,4685.199638833637,7201.478412688613
73,2663.2396553094236,4717.101368426614,7473.653001118397
74,2663.2396553094236,4712.831739310799,7122.94179685909
75,2646.4854181673545,4654.915681192611,7122.94179685909
76,2635.163292831051,4627.571208042086,7089.631156950709
77,2635.163292831051,4617.898566759147,7523.515538329363
78,2635.163292831051,4678.554290669691,7166.540965751674
79,2635.163292831051,4697.67817829015,7166.540965751674
80,2635.163292831051,4739.989645855707,7128.675290016596
81,2635.163292831051,4671.969713032918,7117.1555520642505
82,2635.163292831051,4669.0159539070655,7416.031402345659
83,2635.163292831051,4617.942965988102,7087.533107378206
84,2625.9093433291264,4602.226142534875,7087.533107378206
85,2600.3627556296187,4631.38485930476,7436.368998802181
86,2600.3627556296187,4644.229150792743,7841.613710186727
87,2600.3627556296187,4649.304392743383,7198.368063761718
88,2600.3627556296187,4624.895295937811,7319.718332836181
89,2600.3627556296187,4638.6405581400395,7317.552097214577
90,2581.928541396842,4677.1166807319505,7311.996949579628
91,2580.063677436198,4708.855504785798,7211.113710921073
92,2570.0279743535307,4671.094339688229,7249.964524061088
93,2558.6724953286316,4692.072941597657,7148.328559211829
94,2542.9520571036915,4717.8368478137345,7104.3016631422615
95,2542.9520571036915,4646.459352648206,7284.607317470998
96,2542.412828330589,4612.193467896477,7166.5007657383585
97,2542.412828330589,4576.2433233909815,7700.702618113788
98,2542.412828330589,4590.437096099648,7147.851059049773
99,2542.365948408742,4604.755847929602,7239.331944456945
100,2541.458824804604,4600.073738156697,7239.331944456945
101,2541.458824804604,4587.013823186483,7043.150114770956
102,2541.458824804604,4590.876505238694,7404.655978942755
103,2541.458824804604,4662.245813535375,7130.469919440003
104,2541.458824804604,4642.475680591796,7120.975100455538
105,2537.831625553739,4632.598708550779,7006.471216621039
106,2523.592053805438,4574.310811717631,7382.549933498883
107,2520.950577327232,4646.863217238681,7362.632776444303
108,2500.408016728146,4651.6718466054435,7353.203000371003
109,2500.408016728146,4640.377299785902,7371.112175544064
110,2500.408016728146,4726.1627514132415,7295.712066346876
111,2491.8833959529143,4625.040535360514,7459.899042187357
112,2491.8833959529143,4686.092035957429,7210.740693617857
113,2491.8833959529143,4587.86555714737,7210.740693617857
114,2491.8833959529143,4637.90717599175,7391.277524887526
115,2491.8833959529143,4604.219543975743,7371.9644290802735
116,2491.8833959529143,4620.358190446334,7371.9644290802735
117,2491.8833959529143,4704.83119079582,7370.782385197526
118,2491.8833959529143,4697.866032221939,7348.711316990034
119,2491.8833959529143,4569.944612535755,7155.878052963995
120,2491.8833959529143,4514.223752807099,7153.252682872267
121,2491.8833959529143,4585.867098527546,7235.084554044007
122,2491.8833959529143,4594.9621933696135,7235.084554044007
123,2491.8833959529143,4574.637482425253,7291.481813768606
124,2480.3815836715016,4615.396240700058,7728.100145050798
125,2480.3815836715016,4637.284567656821,7707.104236140935
126,2480.3815836715016,4700.550454845507,7651.05459601457
127,2480.3815836715016,4600.000368590819,7651.05459601457
128,2480.3815836715016,4701.267085291814,7487.957391864912
129,2480.3815836715016,4777.0052371765305,7258.979169415476
130,2454.53500960647,4688.862876881536,7320.8327204151055
131,2454.53500960647,4685.125195372481,7329.739684722261
132,2454.3603880710066,4688.100752576521,7329.739684722261
133,2454.3603880710066,4633.484630206601,7291.036746882291
134,2435.851306332587,4581.423938435362,7197.289622515325
135,2435.851306332587,4566.8401029978295,7220.131337062202
136,2435.851306332587,4576.052871834219,7130.100315944347
137,2435.851306332587,4532.79560408102,7009.471690344128
138,2435.851306332587,4498.156380921837,6987.608602556489
139,2435.851306332587,4498.836338956239,7407.207821649429
140,2435.851306332587,4539.003473956016,6987.608602556489
141,2435.851306332587,4506.298073720649,6987.608602556489
142,2435.851306332587,4560.666754718977,7060.082942687564
143,2435.851306332587,4480.840384711909,7488.784081539936
144,2435.851306332587,4506.8408718802475,7598.24741552378
145,2435.851306332587,4599.3868685276175,7575.0343881193185
146,2435.851306332587,4621.755291607492,7524.7975269367635
147,2435.851306332587,4614.533042520463,7722.338087136219
148,2435.851306332587,4662.783620928575,7516.5801172888305
149,2435.851306332587,4644.743046129335,7470.083394494532
150,2435.851306332587,4717.687958967375,7453.835999773366
151,2435.851306332587,4682.9944603467775,7317.325743737054
152,2435.851306332587,4640.61700951387,7347.751233620665
153,2435.851306332587,4683.370208782995,7488.811836012997
154,2435.851306332587,4690.975226814218,7347.751233620665
155,2435.851306332587,4653.123271689869,7243.2160170237385
156,2433.321674156837,4606.840317547503,7500.601344496383
157,2432.4816916569775,4594.015913552315,7332.842663628952
158,2432.4816916569775,4614.004753210987,7287.241982791872
159,2403.688064948412,4552.603979077709,7198.8919333902995
160,2403.688064948412,4563.057431729533,7569.88015871471
161,2403.688064948412,4530.815017008157,7178.074996060305
162,2403.688064948412,4614.372383233902,7178.074996060305
163,2403.688064948412,4545.43395856696,7178.074996060305
164,2403.688064948412,4580.9148075181065,7069.634266050112
165,2403.688064948412,4559.051642721746,7872.554860959098
166,2403.688064948412,4615.356062446767,7492.102404935469
167,2403.688064948412,4617.590209978021,7492.102404935469
168,2403.688064948412,4628.181370728934,7229.532203727652
169,2403.3470156140256,4668.859590569318,7661.681500221357
170,2403.3470156140256,4690.182599815462,7997.321783938574
171,2403.3470156140256,4731.167504001046,7750.3160739375235
172,2403.3470156140256,4671.200496958164,7555.019666988774
173,2403.3470156140256,4615.805122026362,7611.8426560831
174,2403.3470156140256,4571.362552809541,7167.286297324036
175,2403.3470156140256,4570.756453213364,7291.832744253147
176,2403.3470156140256,4582.859699269433,7929.195515898686
177,2403.3470156140256,4662.148176789257,8129.636974707212
178,2403.3470156140256,4661.878197463555,7319.861093940303
179,2403.3470156140256,4650.35180249085,7283.958793906555
180,2403.3470156140256,4591.450664461895,7220.21433339413
181,2403.3470156140256,4595.247847048005,7609.53920176369
182,2403.3470156140256,4626.333434946597,7378.776952320846
183,2403.3470156140256,4633.361201640703,7362.016059906819
184,2403.3470156140256,4612.129851102489,7822.648481310556
185,2403.3470156140256,4669.232363958926,7570.0880586399135
186,2403.3470156140256,4590.817970560612,7634.492989418289
187,2403.242952801487,4572.336283657558,7239.772616467653
188,2403.242952801487,4635.382167214971,7159.596044840406
189,2403.242952801487,4647.982958630644,7715.9040465408725
190,2395.3147426039795,4650.282693086843,7201.611887415051
191,2395.3147426039795,4579.934529664817,7509.169348819245
192,2395.3147426039795,4533.734595703852,7442.403844716182
193,2395.3147426039795,4482.9733893667,7490.375409101477
194,2395.3147426039795,4463.936622542636,7490.375409101477
195,2395.3147426039795,4556.668956541212,7204.927557743793
196,2395.3147426039795,4535.1580387374715,7165.503909220934
197,2395.3147426039795,4485.477660575109,7181.828992793052
198,2386.2553258734324,4469.602434309467,7153.41707252325
199,2386.2553258734324,4535.90841017643,6890.997684012872
200,2386.2553258734324,4480.771184786009,7119.993038008346
201,2386.2553258734324,4471.069577702914,7119.993038008346
202,2386.2553258734324,4443.918473781025,7392.236579848844
203,2386.2553258734324,4495.937878938882,7435.7955526349015
204,2386.2553258734324,4532.752808393119,7173.242573301051
205,2386.2553258734324,4520.653833040264,7052.429908839253
206,2386.2553258734324,4467.301625242926,7004.113018477378
207,2386.2553258734324,4530.387802769938,7751.758927558365
208,2386.2553258734324,4520.643815833195,7358.52679173805
209,2386.2553258734324,4474.675216797135,7340.878586839629
210,2386.2553258734324,4525.354621625642,7308.656929490452
211,2386.2553258734324,4469.042104833065,6969.518675054754
212,2386.2553258734324,4508.8201461680865,6968.0493174973835
