Solutions over population
,Best,Avg,Worst
0,6434.379684804543,7412.4707351901425,9267.631857645672
1,4364.870527105122,6558.918440943451,9116.177011012702
2,4149.369230347758,6268.177710822276,8509.196402989523
3,4028.7752522813694,6134.500874994637,8376.61453764575
4,3983.572853907644,6091.077966235437,8160.9723725764925
5,3893.299023303744,5990.773996359107,8137.432520871583
6,3842.548644526892,5963.6296837348145,8624.536811970036
7,3766.8592914350124,5890.7517016945,8244.27633932791
8,3610.4253145144717,5864.676535937252,8314.2998531759
9,3561.39047056512,5702.601770096941,7997.94611102697
10,3553.6374124912095,5651.56051572671,7997.94611102697
11,3542.5789435015345,5650.420485147667,7833.753917404774
12,3453.3641344377775,5549.500544267022,7698.048337541743
13,3389.2310377397507,5512.513534027572,7698.048337541743
14,3387.722152297082,5523.345476312626,7688.588012370544
15,3371.4140130128485,5420.7428581638615,7595.589218531889
16,3333.975496591026,5350.038984643524,7578.281490460875
17,3168.4381196608265,5407.96990274102,7547.828984812834
18,3164.831944176425,5359.945619967471,7612.54083438987
19,3147.814931761345,5328.651250910233,7469.73638591248
20,3135.225984671737,5242.714571112654,7397.799996333768
21,3135.225984671737,5209.1622464589445,7248.038788004533
22,3135.225984671737,5218.572427584319,7385.717388578075
23,3131.921085057038,5189.333740461198,7369.286381719832
24,3124.5814561873094,5148.797121688381,7369.286381719832
25,3049.6068483567733,5139.639564990689,7374.134882394536
26,3049.6068483567733,5103.424308600059,7330.849912994435
27,3026.232585050314,5151.17201494362,7555.365997240591
28,2973.7022472007184,5112.220996397607,7293.198327776539
29,2973.7022472007184,5087.6179526336,7353.693522755344
30,2917.553201315577,5051.566404231099,7257.29764427131
31,2917.553201315577,5006.818826706282,7248.125420675843
32,2845.8603493658647,4997.845762173853,7549.167568191654
33,2836.9972597140804,5054.892435585325,7311.058269713107
34,2836.9972597140804,5007.842067013049,7956.514546121854
35,2836.9972597140804,4997.249833900221,7956.514546121854
36,2836.9972597140804,5011.935196132892,7973.880426133625
37,2832.929121880805,5050.242246639558,7712.92357471976
38,2832.929121880805,5017.902003451324,7328.410583190801
39,2832.929121880805,4984.981500676976,7296.81919801094
40,2832.929121880805,4952.189569142905,7235.189998767487
41,2832.929121880805,4935.54163987242,7282.9613105368135
42,2792.327674556673,4900.965102580831,7235.189998767487
43,2792.327674556673,4839.428837809388,7124.435077200105
44,2751.2569887455293,4888.32443213731,7542.699043963647
45,2751.2569887455293,4847.774880801726,7378.589415863975
46,2751.2569887455293,4902.7525809298,7378.589415863975
47,2722.8114818434105,4905.503547172927,7334.402322335819
48,2720.5291809172054,4891.485187749357,7332.885935797096
49,2720.5291809172054,4873.7404948857475,7432.02794587803
50,2720.5291809172054,4784.130824138794,7160.3103966180615
51,2720.5291809172054,4772.316142797892,7112.938378662981
52,2720.5291809172054,4752.9966109204015,7112.938378662981
53,2716.944553478575,4722.012904281397,7112.938378662981
54,2707.9868491920784,4788.129141956743,7155.224563681198
55,2707.9868491920784,4712.737753746788,7153.725435664786
56,2707.9868491920784,4676.426504392695,7269.857884791141
57,2707.9868491920784,4698.974822175632,7360.695200450403
58,2701.4034680034783,4636.83834820206,7081.687602418092
59,2701.4034680034783,4744.936301814403,7683.187321459652
60,2698.3465102645737,4734.181528343151,6919.954319376385
61,2689.2445616801033,4672.034221924477,6919.954319376385
