Solutions over population
,Best,Avg,Worst
0,19557.993795227183,22832.332152573057,30905.98504702536
1,19412.783111776855,23721.445317654674,35025.17202708
2,19412.783111776855,24773.25813697942,36229.48070799754
3,19412.783111776855,25532.81770074349,35847.43326052162
4,19412.783111776855,26138.884720620717,35847.43326052162
5,19412.783111776855,26253.609407098684,35847.43326052162
6,19412.783111776855,27140.611731611498,35847.43326052162
7,19412.783111776855,27340.19611847658,38582.42358856302
8,19412.783111776855,27306.31949128706,38582.42358856302
9,19412.783111776855,27959.13887365585,38582.42358856302
10,19412.783111776855,27352.469759290292,39299.4325160244
11,19412.783111776855,27751.183427571632,40872.782423725104
12,19412.783111776855,28070.62614469352,40872.782423725104
13,19412.783111776855,28550.13352285218,40872.782423725104
14,19412.783111776855,28894.17269575509,40872.782423725104
15,19412.783111776855,28443.850990946932,40872.782423725104
16,19412.783111776855,28569.734212482053,40872.782423725104
17,19412.783111776855,29142.547473535335,40370.96616615249
18,19412.783111776855,28355.13807737096,40370.96616615249
19,19412.783111776855,28540.470551756804,40370.96616615249
20,19412.783111776855,28775.847904561022,40370.96616615249
21,19402.443928486824,28419.708025455973,40370.96616615249
22,19229.184125214997,27958.920729645713,40370.96616615249
23,19229.184125214997,28257.76065360086,40370.96616615249
24,19229.184125214997,28173.316497274187,40370.96616615249
25,19229.184125214997,28458.309448926095,40028.450417028274
26,19229.184125214997,28718.715631699582,40362.14572812492
27,19229.184125214997,28285.96062982986,40362.14572812492
28,18962.987633201737,27644.787735455648,40362.14572812492
29,18962.987633201737,28273.357195068784,40362.14572812492
30,18854.337092689435,28227.799893537514,41399.13042009629
31,18854.337092689435,28062.055693498078,41399.13042009629
32,18465.20501626242,28075.929251647867,41399.13042009629
33,18465.20501626242,28645.037197842492,41399.13042009629
34,18465.20501626242,28114.78812874676,41399.13042009629
35,18465.20501626242,28090.284723089746,41399.13042009629
36,18428.424686636554,28044.671666846,41399.13042009629
37,18428.424686636554,27972.91423068461,41399.13042009629
38,18188.54150543262,27668.48338637074,40859.16799968931
39,18188.54150543262,28486.290240850776,40859.16799968931
40,18188.54150543262,27685.48851995172,41341.167463878446
41,18188.54150543262,27993.994366711206,41341.167463878446
42,18188.54150543262,28065.082966093592,41341.167463878446
43,18188.54150543262,28269.48021834237,41341.167463878446
44,18188.54150543262,28468.559294909905,41341.167463878446
45,18188.54150543262,28721.04039914412,41341.167463878446
46,18188.54150543262,28297.355806274085,41341.167463878446
47,18188.54150543262,29064.968539605747,42509.31611900689
48,18188.54150543262,27948.190411108724,42509.31611900689
49,18022.825287491636,27861.085811162615,42965.008751662004
50,18022.825287491636,28771.820286649625,42965.008751662004
51,18022.825287491636,28625.2415047668,42965.008751662004
52,18022.825287491636,29067.33119420798,42850.60740074383
53,18022.825287491636,29189.467871809262,42850.60740074383
54,18022.825287491636,29004.50816082221,42850.60740074383
55,18022.825287491636,29334.200556801003,42387.24808678419
56,18022.825287491636,29287.190357418236,42131.219788618444
57,18022.825287491636,29100.008709932332,42061.06236673593
58,18022.825287491636,28542.207430729657,42061.06236673593
59,18022.825287491636,28443.234896566846,42061.06236673593
60,18022.825287491636,29032.978972644,42061.06236673593
61,18022.825287491636,28653.981315209327,42061.06236673593
62,18022.825287491636,28683.14989533392,43408.84173153904
63,18022.825287491636,28797.506429401245,43408.84173153904
64,18022.825287491636,28645.018334132987,43154.36503411138
65,18022.825287491636,28928.573622607542,43154.36503411138
66,17909.792660351086,28648.328942221684,44236.823899075476
67,17909.792660351086,28363.172262914166,44236.823899075476
68,17909.792660351086,28713.706088290885,44236.823899075476
69,17909.792660351086,28212.396294979546,43154.36503411138
70,17909.792660351086,28397.15383601199,43154.36503411138
71,17909.792660351086,27926.3194597255,43154.36503411138
72,17909.792660351086,29109.757872593484,43154.36503411138
73,17909.792660351086,28978.77856008369,42519.21246788122
74,17909.792660351086,28564.927517102795,42504.568056603595
75,17909.792660351086,29159.79644523679,42504.568056603595
76,17909.792660351086,28071.85065339384,42484.72408244619
77,17909.792660351086,28058.24666977228,42484.72408244619
78,17909.792660351086,28080.237966576875,42484.72408244619
79,17909.792660351086,27520.559639651397,42484.72408244619
80,17909.792660351086,27992.202299500295,42484.72408244619
81,17909.792660351086,28932.61317098178,42484.72408244619
82,17909.792660351086,27824.76145358525,43820.86509270086
83,17909.792660351086,28714.35981096089,43820.86509270086
84,17909.792660351086,28450.96093107129,43820.86509270086
85,17693.22687765718,28565.00211883649,42831.413720774915
86,17693.22687765718,28628.306127987533,42831.413720774915
87,17693.22687765718,29308.52589692858,42484.72408244619
88,17693.22687765718,27895.057906702437,43228.35057813639
89,17693.22687765718,28969.314943931677,43228.35057813639
90,17693.22687765718,29073.98214787245,43228.35057813639
91,17693.22687765718,29082.735266993455,43228.35057813639
92,17693.22687765718,28928.52667142705,43722.02526478247
93,17693.22687765718,29036.131712884897,43722.02526478247
94,17657.704369908395,28424.41327749234,43722.02526478247
95,17657.704369908395,28709.83707508969,43722.02526478247
96,17657.704369908395,28093.098865103315,43228.35057813639
97,17657.704369908395,28789.587514202496,43814.898039403975
98,17657.704369908395,28410.952677527173,43228.35057813639
99,17657.704369908395,29160.46482551184,43228.35057813639
100,17657.704369908395,29290.544209524138,44518.091022300534
