Solutions over population,,,
,Best,Avg,Worst
0,2248.156223,3460.448081,5611.563842
1,1253.065306,2855.129848,4984.553562
2,1179.769453,2651.705763,4764.585233
3,1112.124554,2548.115416,4703.602785
4,1112.124554,2370.400196,4360.510405
5,1112.124554,2268.612749,3891.375587
6,1074.701584,2212.873435,3873.329601
7,1068.494124,2140.958797,3757.621862
8,1057.99357,2056.228831,3385.842515
9,1036.001955,2006.956108,3347.020071
10,1000.496452,2000.060509,3274.36452
11,995.7632064,2005.565795,3442.873718
12,985.2128099,1953.250363,3273.099201
13,960.0009132,1905.537185,3263.738442
14,936.352326,1895.967568,3334.865325
15,936.352326,1892.834604,3111.695101
16,936.352326,1852.164226,3093.411009
17,936.352326,1819.211798,3034.419708
18,936.2819664,1805.362269,2963.562622
19,927.5702535,1773.247818,3167.042727
20,927.5702535,1781.682308,3148.339784
21,927.5702535,1813.647901,3069.104033
22,924.0744057,1780.211001,3535.921631
23,923.247803,1787.404117,2922.622866
24,907.5401688,1754.384848,3001.195484
25,907.5401688,1785.013197,3096.101324
26,887.5770677,1756.208176,3304.502435
27,878.7642276,1796.126232,3085.081543
28,871.5583381,1789.498954,3155.117926
29,864.9994551,1749.649309,2997.06407
30,864.9994551,1748.869262,3222.374363
31,864.1756698,1772.259062,3197.760669
32,857.317904,1773.208003,3092.972232
33,856.7831434,1748.768228,3241.535751
34,839.0852097,1775.661656,2967.653078
35,828.0980278,1753.276958,2956.257366
36,828.0980278,1739.038124,3144.545766
37,828.0980278,1751.445694,3078.016979
38,828.0980278,1723.980425,3070.743334
39,819.0501168,1717.654017,3067.710281
40,818.5224694,1759.10194,3206.505503
41,818.0105103,1758.486793,3200.736296
42,801.9449418,1731.11919,3047.049198
43,801.5553097,1721.382798,2959.37556
44,801.5553097,1713.90432,3285.621102
45,801.5553097,1725.65982,3320.086502
46,801.5553097,1763.267558,3532.440147
47,801.5553097,1790.65096,3583.91462
48,801.5553097,1781.174266,3583.91462
49,797.6111287,1793.992801,3316.265827
50,785.8741782,1752.90602,3328.880981
51,785.8741782,1746.836028,3105.720819
52,785.8741782,1742.986851,3170.615013
53,783.2665301,1775.354327,3247.047322
54,783.2665301,1772.71575,3158.693612
55,774.7182126,1723.301105,3089.396376
56,774.7182126,1714.222875,3667.182613
57,774.7182126,1773.830167,3153.1126
58,773.8528398,1776.599838,3186.859553
59,773.8528398,1800.721155,3210.386413
60,770.7457506,1822.375849,3210.386413
61,770.7457506,1755.88532,3050.17497
62,770.7457506,1731.429764,3050.17497
63,768.2745338,1695.784021,3471.700581
64,768.2745338,1777.199825,3263.668714
65,757.1885158,1800.989756,3263.668714
66,757.1885158,1790.457314,3206.007637
67,757.1885158,1733.055122,3010.697292
68,757.1885158,1727.816143,3146.98862
69,757.1885158,1740.258603,3188.135524
70,756.3345909,1738.592784,3396.867416
71,756.3345909,1757.138758,3136.365099
72,752.3432868,1753.600674,3122.071566
73,752.3432868,1742.829701,3122.071566
74,752.3432868,1746.727215,3486.63341
75,752.3432868,1812.252888,3205.229722
76,752.3432868,1750.376676,3058.420638
77,752.3432868,1729.794165,3236.701269
78,751.8982089,1751.269668,3236.701269
79,751.8982089,1818.218418,3515.41035
80,751.8982089,1791.869364,3533.031044
81,750.0392291,1786.694453,4002.843552
82,750.0392291,1810.637912,3577.253072
83,750.0392291,1767.950222,3577.253072
84,745.7595934,1807.743021,3289.680607
85,733.3849143,1777.872145,3222.840058
86,727.3107757,1749.721279,3220.122691
87,727.3107757,1711.200667,3961.654182
88,727.3107757,1780.497288,3218.683098
89,727.3107757,1796.375419,3241.410496
90,727.3107757,1778.699442,3241.410496
91,727.3107757,1749.217936,3339.154588
92,727.3107757,1793.516029,3331.489292
93,727.3107757,1791.505946,3581.627167
94,727.3107757,1747.581784,3389.348893
95,720.1124295,1752.669698,3389.348893
96,720.1124295,1773.552914,3313.934631
97,720.1124295,1756.742527,3475.060212
98,720.1124295,1781.229124,3461.346439
99,720.1124295,1777.20984,3319.25392
100,720.1124295,1753.606917,3319.25392
101,720.1124295,1718.120142,3140.542206
102,720.1124295,1734.289188,3254.56523
103,720.1124295,1711.834481,3364.549912
104,720.1124295,1767.54346,3885.885254
105,720.1124295,1815.75046,3317.519957
106,720.1124295,1827.348661,3455.122628
107,719.0784294,1798.060396,3430.86724
108,719.0784294,1802.048862,3144.771146
109,719.0784294,1725.833589,3110.544047
110,719.0784294,1696.055479,3288.82792
111,718.6886296,1708.248004,3210.288877
112,712.6186205,1719.902047,3190.870625
113,712.6186205,1697.326029,3199.197497
114,712.6186205,1691.970673,3185.806583
115,712.6186205,1707.437472,3239.456402
116,712.6186205,1669.886159,3074.775687
117,712.6186205,1672.014196,3067.033845
118,712.6186205,1678.175185,3060.115162
119,712.6186205,1688.598059,3019.22638
120,703.0492589,1653.576107,3051.437136
121,703.0492589,1675.798571,3062.600099
122,703.0492589,1706.70906,2948.055672
123,703.0492589,1675.71231,3094.388382
124,703.0492589,1671.015995,3226.014146
125,703.0492589,1641.912426,3170.301146
126,703.0492589,1630.127971,3256.902219
127,703.0492589,1650.255963,3135.143394
128,703.0492589,1674.397108,3193.008566
129,703.0492589,1649.506952,3172.210756
130,703.0492589,1684.929431,3124.695226
131,703.0492589,1703.386969,3295.988629
