Solutions over population,,,
,Best,Avg,Worst
0,4850.043165,5490.873293,6355.830266
1,2221.534501,4386.937133,6355.830266
2,2134.921735,4073.805221,6006.282724
3,2079.879045,3998.033169,6002.055234
4,2065.846102,3843.295049,5929.379865
5,2039.494185,3774.971248,5784.827785
6,2012.208892,3679.992183,5737.142175
7,1941.250427,3627.265936,5722.091786
8,1941.250427,3623.531462,5715.607805
9,1941.250427,3593.015962,5724.429232
10,1927.457929,3567.417453,5654.818401
11,1910.396177,3528.965433,5654.818401
12,1896.724152,3477.671685,5536.749921
13,1896.724152,3453.297858,5390.829439
14,1892.4242,3396.368129,5685.758684
15,1888.666562,3450.229179,5482.426946
16,1888.666562,3501.357225,5487.966448
17,1888.666562,3459.646762,5486.660768
18,1888.666562,3467.311214,5486.660768
19,1888.666562,3454.974664,5283.897012
20,1886.439185,3454.012486,5384.210102
21,1877.586845,3403.176029,5258.267942
22,1877.586845,3384.052711,5258.267942
23,1877.586845,3392.476537,5257.493433
24,1877.586845,3397.456224,5538.768661
25,1877.586845,3402.977285,5316.507104
26,1877.586845,3355.84659,5267.00974
27,1875.699168,3437.584788,5456.84655
28,1875.699168,3382.959286,5456.84655
29,1872.888577,3393.166391,5273.70882
30,1871.0009,3346.909769,5197.291521
31,1871.0009,3339.780654,5230.706172
32,1871.0009,3312.744587,5188.751238
33,1871.0009,3368.843599,5160.456677
34,1871.0009,3393.4062,5183.151888
35,1871.0009,3324.711693,5303.57466
36,1869.217378,3320.3598,5402.384239
37,1869.217378,3313.182362,5405.642203
38,1869.217378,3370.563798,5280.563682
39,1869.217378,3339.931745,5317.301626
40,1869.217378,3284.256715,5187.864585
41,1869.217378,3318.263357,5159.335689
42,1862.631433,3287.358206,5355.955184
43,1862.631433,3362.752222,5366.801425
44,1862.631433,3353.551432,5129.793686
45,1862.631433,3278.635325,5438.21562
46,1862.631433,3307.172108,5161.849833
47,1862.631433,3261.359804,5218.330495
48,1862.631433,3275.509555,5093.978268
49,1862.631433,3276.445004,5163.814627
50,1862.631433,3277.7784,5273.385394
51,1862.631433,3267.294363,5273.385394
52,1862.631433,3287.189929,5293.221494
53,1862.631433,3297.843141,5163.893244
54,1862.631433,3311.418895,5169.203303
55,1862.631433,3320.932514,5155.146021
56,1862.631433,3291.376654,5129.681541
57,1862.631433,3263.749525,5233.459215
58,1862.631433,3315.609468,5105.196056
59,1862.631433,3286.153184,5064.891225
60,1862.631433,3304.208905,5093.869129
61,1862.631433,3343.139117,5121.122083
62,1862.631433,3273.147,5249.697829
63,1862.631433,3254.194839,5249.697829
64,1862.631433,3288.059143,5128.422544
65,1862.631433,3314.637015,5182.322742
66,1862.631433,3299.488688,5196.804787
67,1862.631433,3298.430099,5184.926111
68,1862.631433,3360.21043,5262.705383
69,1862.631433,3285.64727,5184.926111
70,1862.631433,3264.783308,5184.926111
71,1862.631433,3260.712661,5184.926111
72,1862.631433,3302.474392,5247.185381
73,1862.631433,3252.643923,5359.932193
74,1862.631433,3313.633475,5201.426179
75,1862.631433,3268.259425,5201.426179
76,1862.631433,3304.830203,5365.925653
77,1862.631433,3316.277332,5479.45154
78,1862.631433,3313.43339,5303.96216
79,1862.631433,3290.757821,5150.386268
80,1862.631433,3269.911054,5168.139234
81,1862.631433,3250.63357,5156.35616
82,1862.631433,3232.696312,5127.740555
83,1862.631433,3281.681338,5227.305163
84,1862.631433,3269.294241,5271.21713
85,1862.631433,3258.076888,5056.846041
86,1862.631433,3269.4337,5066.545581
87,1862.631433,3274.356307,5369.337448
88,1862.631433,3298.298719,5616.322896
89,1862.631433,3280.738349,5147.460856
90,1862.631433,3263.72266,5199.460364
91,1862.631433,3222.354953,5032.99306
92,1862.631433,3187.973479,5043.316525
93,1862.631433,3275.081653,5136.185642
94,1862.631433,3262.942439,5239.882218
95,1862.631433,3266.952268,5275.333087
