Solutions over population,,,
,Best,Avg,Worst
0,6073.522397,8439.177648,13701.76073
1,3489.066185,7470.503133,13663.76683
2,3128.69066,7017.332247,12667.22456
3,2832.229585,6821.372685,12084.70919
4,2728.79394,6713.392137,11642.65497
5,2627.689844,6528.53478,12620.44048
6,2554.017568,6366.395178,12613.14056
7,2545.147761,6324.351863,12010.52699
8,2507.772021,6334.77424,12723.49371
9,2461.643563,6338.223766,14261.66617
10,2417.632369,6476.38254,14275.66357
11,2417.632369,6617.218684,14114.78287
12,2402.237585,6585.398861,13855.78214
13,2402.237585,6763.417445,13822.85421
14,2397.504624,6585.184855,15678.40332
15,2397.504624,6691.730126,14424.14731
16,2381.672316,6624.767997,14015.60131
17,2377.560273,6681.081564,13828.27298
18,2372.472073,6615.712319,13795.26267
19,2355.294201,6579.961918,13789.41103
20,2354.931221,6748.379711,14399.56727
21,2348.663114,6709.099435,15377.93587
22,2348.663114,6738.601538,14734.02829
23,2348.663114,6734.336781,14675.40007
24,2348.417892,6784.742311,14615.94808
25,2344.880092,6758.382624,15469.03061
26,2339.886946,6832.813034,15469.03061
27,2339.886946,6711.881436,16375.04436
28,2339.886946,6755.559037,15507.39982
29,2335.663463,6981.749996,17921.71887
30,2334.148183,7283.08359,17695.67406
31,2321.413214,7347.921531,17343.19396
32,2321.413214,7561.411997,17996.3042
33,2321.413214,7531.057627,17958.24633
34,2312.202896,7600.90604,19850.77122
35,2312.202896,7801.871715,19106.27348
36,2312.202896,7821.318415,21635.74882
37,2312.202896,7871.041796,19389.89205
38,2312.202896,7870.527459,18966.93415
39,2312.202896,7799.863386,19358.55503
40,2312.202896,7869.3571,21464.05388
41,2312.202896,8264.873692,19950.34699
42,2312.202896,8180.99865,19082.07846
43,2312.202896,7973.098251,19872.65204
44,2312.037334,8214.788108,21687.34922
45,2312.037334,8369.598739,21687.34922
46,2312.037334,8548.18422,22581.72247
47,2312.037334,8657.586433,22028.22173
48,2312.037334,8624.069051,22070.25431
49,2309.697765,8530.547954,22140.38761
50,2305.973281,8823.802424,20510.75942
51,2305.973281,8533.328994,20449.83828
52,2305.973281,8401.413653,20760.70707
53,2301.403804,8202.128227,20345.42227
54,2295.938994,8026.2941,20642.36622
55,2290.330304,7924.737835,19015.39202
56,2290.330304,7818.654216,22369.04441
57,2290.330304,8006.854911,20944.56847
58,2290.330304,8257.103781,20549.64666
59,2290.330304,8394.041442,21474.83778
60,2290.330304,8420.762875,19960.34166
61,2289.139976,8089.416975,20772.646
62,2289.139976,8140.819921,20602.2711
63,2289.139976,8045.41441,20601.29569
64,2286.457218,8219.572888,21134.54658
65,2286.457218,8341.356764,20282.60751
66,2286.457218,8357.671801,19851.42096
67,2286.457218,8349.863615,20105.75566
68,2286.457218,8293.915445,19748.66734
69,2286.457218,8165.571814,19451.92993
70,2286.457218,7883.659106,19466.1932
71,2286.457218,8235.603607,20112.05411
72,2286.457218,8213.431594,19028.63539
73,2286.457218,7938.086715,18438.72709
74,2286.457218,7955.234802,20919.81348
75,2286.457218,7861.319707,20824.75254
76,2286.457218,8086.378296,20242.66243
77,2286.457218,8029.020804,20087.73692
78,2286.457218,8044.515424,19031.06743
79,2286.457218,7976.961812,19673.65883
80,2286.457218,7808.004427,20073.61379
81,2286.457218,7921.270728,19758.07369
82,2286.241734,7965.285079,21244.41977
83,2284.829187,7968.590344,20556.67125
84,2284.829187,8130.664523,20619.38018
85,2282.419857,8263.724348,19895.06661
86,2282.419857,8313.729084,20468.6783
87,2282.419857,8348.408853,20345.64496
88,2282.419857,8061.708637,20717.66914
89,2282.419857,8341.722953,20289.19726
90,2282.419857,8065.436951,22983.39455
91,2282.419857,8499.718516,20510.2492
92,2281.258761,8322.874737,20694.24978
93,2281.258761,8222.720666,20284.53962
94,2281.042658,8309.538346,21480.45399
95,2279.849999,8219.363719,22302.53384
96,2279.849999,8122.435863,19966.16376
97,2279.849999,8241.804622,19996.75178
98,2279.849999,8052.019683,20517.16733
99,2279.849999,8366.421366,19297.1548
100,2274.945889,7924.779944,18933.79024
101,2274.933001,7949.028503,19665.67328
102,2270.72384,7851.971258,19637.94193
103,2270.72384,7670.248843,20707.29318
104,2270.72384,8046.988249,20019.69055
105,2270.72384,8191.229827,19113.87334
106,2270.72384,8128.638261,19391.28843
107,2267.587079,8336.259519,18982.78328
108,2267.587079,8263.64843,19706.54711
109,2267.587079,8077.677432,22504.11565
110,2267.587079,8532.545248,21506.95423
111,2267.587079,8243.863959,21188.67876
112,2266.337045,8400.909723,21188.67876
113,2264.038116,8326.064586,19705.43998
114,2264.038116,8045.79847,20083.61061
115,2264.038116,8052.791573,18412.38365
116,2259.426404,7914.236595,22294.92907
117,2259.426404,7943.455571,22397.48032
118,2259.426404,8283.417009,22036.31099
119,2259.426404,8473.418359,21941.53103
120,2259.426404,8621.990715,20233.00916
121,2259.426404,8500.478279,20099.34334
122,2259.426404,8391.543084,20012.92716
123,2259.426404,8208.747321,20292.03509
124,2251.31989,8284.940768,20522.09393
125,2251.31989,8253.724396,20613.25873
126,2245.628752,8447.936204,20094.60185
127,2245.628752,8286.842243,22717.26754
128,2245.628752,8788.750495,22569.3361
129,2242.697021,8989.133604,21470.68
130,2242.697021,8891.506253,21324.63877
131,2242.697021,8951.503471,21324.63877
132,2242.697021,8771.724708,20984.76004
133,2242.697021,8746.430383,22009.21415
134,2242.697021,8808.568947,20372.82103
135,2242.697021,8682.380267,20136.87976
136,2242.697021,8536.54757,19899.90417
137,2242.697021,8392.823295,19438.2706
138,2242.697021,8488.550329,19831.21584
139,2242.697021,8292.027269,19831.21584
140,2242.697021,8024.059785,19578.57304
